Item,Language,Coder ID,Annotation time,Loom time,QA ID,QA time,Note Section
Item_00009_2,python,510,1 hour,10min,31,50,
Item_00010_2,python,510,1 hour 10min,15min,31,34,
Item_00011_2,python,510,1 hour 10min,15min,31,56,
Item_00013_2,python,510,40min,10min,33,17,
Item_00014_2,python,510,30min,6min,33,12,
Item_00017_2,python,510,1 hour 20min,20 min,33,23,
Item_00018_2,python,510,1 hour,10min,33,15,
Item_00020_1,python,510,1 hour 10min,15min,31,47,
Item_00023_1,python,510,1 hour,15min,31,35,
Item_00036_1,python,510,1 hour,10min,33,17,
Item_00045_3,python,510,55min,10min,33,20,
Item_00047_3,python,510,1 hour 20min,15min,31,56,
Item_00048_3,python,510,1 hour 10min,10min,33,12,
Item_00049_3,python,510,55 min,10min,33,17,
Item_00052_3,python,510,1 hour,10min,33,17,
Item_00053_3,python,510,55min,10min,31,26,
Item_00527_2,bash,510,30min,11min,33,22,
Item_00528_2,bash,510,1 hour 15 min,10min,33,34,
Item_00529_2,bash,510,45min,5min,33,10,
Item_00533_2,bash,510,40min,20min,33,20,
Item_00534_2,bash,510,50 min,15min,33,15,
Item_00538_2,bash,510,50min,10min,33,12,
Item_00539_2,bash,510,1 hour 10min,15min,33,20,
Item_00704_2,windows batch scripting,510,1 hour 5min,10 min,,,
item_00737_2,pseudocode,510,50 min,10 min,,,
Item_00742_2,powershell,510,1 hour 10min,20min,33,25,
Item_00743_2,powershell,510,25min,10min,33,18,
Item_00776_1,batch,510,1 hour 10 min,15min,,,
item_00780_2,assembly,510,1 hour 45min,10min,,,
item_00781_2,assembly,510,1 hour 20min,10min,31,20,
Item_00267_2,java,511,1hour 20min,20min,53,1 hour 12 min,
Item_00279_2,java,511,1hr,15min,53,35 min,
Item_00295_2,java,511,1 hr 05 min,15mins,53,46 miin,
Item_00297_1,java,511,1hr,15min,,,
Item_00300_1,java,511,1hr 10 min,12min,56,20 min,
Item_00301_1,java,511,56min,12min,56,12 min,
Item_00309_1,java,511,50min,10,56,,
Item_00029_1,python,514,1 hour 15 mins,10mins,33,11,
Item_00030_1,python,514,1 hour 20 mins,10 mins,33,12,
Item_00303_2,java,514,1 hour 10 mins,10 mins,,,
Item_00308_1,java,514,1 hour 10 mins,10 mins,,,
Item_00320_2,java,514,1 hour 40 mins,10 mins,,,
Item_00329_1,java,514,1 hour 10 mins,10 mins,,,
Item_00466_1,typescript,514,1 hour 10 mins,10 mins,54,25,
Item_00535_2,bash,514,1 hour 10mins,10 mins,33,17,
Item_00536_2,bash,514,1 hour 13mins,10 mins,33,14,
Item_00536_2,bash,514,1 hour 10 mins,10 mins,,,
Item_00537_2,bash,514,1 hour 7 mins,6 mins,33,10,
Item_00564_2,php,514,50 mins,7 mins,,,
Item_00565_2,php,514,45 mins,10 mins,,,
Item_00639_2,dart,514,1 hour 50 mins,20 mins,56,45 mins,
Item_00682_2,matlab,514,1 hour 4 mins,10 mins,,,
Item_00683_2,matlab,514,1 hour 25 mins,10 mins,,,
Item_00684_2,matlab,514,1 hour 20mins,10 mins,,,
Item_00685_2,matlab,514,1 hour 20 mins,10 mins,,,
Item_00686_2,matlab,514,1 hour 10 mins,10 mins,,,
Item_00687_2,matlab,514,1 hour,10 mins,,,
Item_00688_2,matlab,514,1 hour 20 mins,10 mins,,,
Item_00689_2,matlab,514,1 hour 30mins,10 mins,,,
Item_00690_2,matlab,514,1 hour 30 mins,10 mins,,,
Item_00691_2,matlab,514,1 hour,10 mins,,,
Item_00692_2,matlab,514,1 hour 40 mins,10 mins,,,
Item_00700_1,xml,514,1 hour 10 mins,,33,7,
Item_00739_2,powershell,514,1 hour 40 mins,20 mins,33,13,
Item_00740_2,powershell,514,50 mins,15 mins,33,22,
Item_00766_3,go,514,1 hour,10 mins,31,40,
Item_00767_3,go,514,1 hour 10 mins,10 mins,31,50,
Item_00768_2,go,514,1 hour 40 mins,15 mins,31,52,
Item_00775_1,batch,514,1 hour 30 mins,20 mins,,,
Item_00777_2,basic,514,1 hr 3 mins,10 mins,,,
Item_00168_2,javascript,515,1hr,10min,54,36,
Item_00176_2,javascript,515,50 min,10min,52,33,
Item_00182_1,javascript,515,50 min,10 min,54,33,
Item_00183_1,javascript,515,45 min,10 min,54,46,
Item_00338_2,html/css,515,45min,10mins,54,60,
Item_00344_2,html/css,515,45min,10mins,54,20,
Item_00173_2,javascript,516,50 min,10 min,52,19,
Item_00175_2,javascript,516,1 hour,6 min,54,20,
Item_00178_1,javascript,516,1 hour,10 min,54,32 min,
Item_00179_1,javascript,516,1 hour 10 min,15 min,54,72,
Item_00734_2,react,516,1 hour,10 min,,,
Item_00027_1,python,517,1hr 10min,20min,31,25,
Item_00031_1,python,517,50 min,15 min,31,45,
Item_00032_1,python,517,1hr,,31,30,
Item_00056_3,python,517,1hr 5min,15 min,33,17,
Item_00057_3,python,517,35min,18 min,33,10,
Item_00501_1,sql,519,1 hour 10 min,7 min,31,25,
Item_00008_2,python,520,1 hour 40 min,8 min,33,12,
Item_00019_1,python,520,48 min,5m,31,80,
Item_00024_1,python,520,1hr 10m,7m,31,47,
Item_00033_1,python,520,1hr 6min,5 min,31,50,
Item_00050_3,python,520,48m,6m,33,15,
Item_00051_3,python,520,1hr 20min,4 min,33,12,
Item_00532_2,bash,520,1hr 10min,5min,33,15,
Item_00540_2,bash,520,1hr 10min,10min,33,8,
Item_00541_2,bash,520,1hr,10min,33,5,
Item_00792_2,algorithm,520,1hour 5min,,,,
Item_00792_2,algorithm,520,1hour,5 min,33,19,
Item_00412_2,c#,521,110min,25,,,
Item_00413_2,c#,521,100 min,15,,,
Item_00416_2,c#,521,40min,10,,,
Item_00417_2,c#,521,45min,10,,,
Item_00418_2,c#,521,95 min,15,,,
Item_00420_2,c#,521,140 min,15 min,,,
Item_00421_2,c#,521,40 min,10min,,,
Item_00422_2,c#,521,22 min,10 min,,,
Item_00423_2,c#,521,20 min,12min,,,
Item_00426_2,c#,521,,,,,
Item_00189_1,javascript,525,1 hour 10 min+ 68min,15(525),54,140,
Item_00266_2,java,525,25,15,56,20 min,
Item_00298_1,java,525,30,12,56,15 min,
Item_00302_1,java,525,50 min + 80,22,56,7 min,"QA id: 53
time: 25 min"
Item_00304_1,java,525,48 min +38,15,56,5 min,"QA id: 53
time: 7 min"
Item_00306_1,java,525,53,15,56,2 min,
Item_00307_1,java,525,138,22,56,20 min,
Item_00657_2,kotlin,525,130,15,,,
Item_00658_2,kotlin,525,110,15,,56,12 min
Item_00659_2,kotlin,525,,15,,,
Item_00663_2,kotlin,525,141,20,53,15 min,
Item_00698_2,yaml,525,55,22,,,
Item_00303_1,java,526,52 min,,56,9 min,
Item_00001_2,python,527,40 min,10 min,31,29,
Item_00003_2,python,527,1 hour 10 min,10 min,31,3,
Item_00012_2,python,527,1 hour,10min,33,20,
Item_00015_2,python,527,1 hour,10 min,33,12,
Item_00016_2,python,527,1 hour,10 min,33,8,
Item_00039_3,python,527,1 hour 10 min,10 min,31,50,
Item_00040_3,python,527,1 hour,15 min,33,15,
Item_00041_3,python,527,1 hour,10 min,33,12,
Item_00042_3,python,527,50min,10 min,33,26,
Item_00043_3,python,527,1 hour 30 min,10 min,33,16,
Item_00170_2,javascript,527,50 min,10 min,52,8,
Item_00171_2,javascript,527,50min,10min,54,26,
Item_00330_2,html/css,527,50,15,,,
Item_00331_2,html/css,527,35 min,15 min,,,
Item_00332_2,html/css,527,50,10 min,54,20,
Item_00333_2,html/css,527,50,10,54,40,
Item_00334_2,html/css,527,40,10,,,
Item_00335_2,html/css,527,50,10,,,
Item_00454_2,typescript,527,1 hour,10 min,,,
Item_00457_2,typescript,527,1 hour,10 min,54,36,
Item_00458_2,typescript,527,1 hr,15min,54,43,
Item_00461_3,typescript,527,1 hour 30 min,15 min,54,30,
Item_00462_2,typescript,527,1 hour 20 min,10min,,,
Item_00464_2,typescript,527,1 hour 30 min,20,54,55,
Item_00473_1,typescript,527,1 hour 10 min,10 min,54,25,
Item_00473_2,typescript,527,1hour,10min,54,21,
Item_00474_1,typescript,527,1 hour,10 min,54,15,
Item_00475_2,typescript,527,1 hour,15 mins,54,15,
Item_00694_2,yaml,527,1 hour 20 min,10 min,,,
Item_00695_2,yaml,527,1 hour,10min,,,
item_00696_2,yaml,527,1 hour,10 min,,,
item_00697_2,yaml,527,1 hour,10 min,,,
Item_00699_2,xml,527,1 hour,10 min,33,12,
Item_00568_2,php,531,120 mins,10 mins,,,
Item_00569_2,php,531,120 mins,7 mins,,,
Item_00250_3,javascript,532,30 min,5 min,54,10,
Item_00252_3,javascript,532,54 min,5 min,54,52,
Item_00253_3,javascript,532,1 hr 7 min,4 min,54,42,
Item_00254_3,javascript,532,50 min,5 min,54,36,
Item_00255_3,javascript,532,55 min,6 min,54,20,
Item_00257_3,javascript,532,50 min,5 min,,,
Item_00258_3,javascript,532,50 min,6 min,,,
Item_00259_3,javascript,532,56 min,6 min,,,
Item_00277_2,java,532,53 min,5 min,,,
Item_00282_2,java,532,53 min,5 min,56,40 min,
Item_00285_2,java,532,54 min,5 min,53,21 min,
Item_00286_2,java,532,55 min,6 min,,,
Item_00287_2,java,532,1 hr 5 min,5 min,,,
Item_00288_2,java,532,1 hr 6 min,6 min,53,50 min,
Item_00339_2,html/css,532,47 min,5 min,54,11,
Item_00340_2,html/css,532,52 min,5 min,54,62,
Item_00493_2,sql,532,59 min,6 min,31,30,
Item_00498_2,sql,532,30 min,4 min,31,29,
Item_00502_1,sql,532,50 min,6 min,31,30,
Item_00507_1,sql,532,52 min,7 min,31,30,
Item_00526_3,sql,532,42 min,7 min,31,36,
Item_00782_2,assembly,532,50 min,5min,31,50,
Item_00783_2,assembly,532,1 hr,,31,49,
Item_00784_2,assembly,532,1 hr,7 min,31,10,
Item_00785_2,assembly,532,1 hr,6 min,31,115,
Item_00343_2,html/css,534,55 min,9 min,54,110,
Item_00790_2,angular,536,1 hour 47 min,7 mins,54,15,
Item_00791_2,angular,536,1 hour 45 min,8 min,54,,
Item_00284_2,java,537,1hr 3mins,6 mins,,,
Item_00729_2,rust,537,80,7 minute,,,
Item_00452_2,typescript,538,3 hr 20 min,7 min,54,38,
Item_00476_2,typescript,538,53mins,10mins,54,30,17mins - Return
Item_00478_2,typescript,538,1hour 12mins,17 mins,54,25,
Item_00733_2,react,538,57 mins,20 mins,,,
Item_00757_2,json,538,1 hour 41mins,8mins,54,15,
Item_00758_2,json,538,20 mins,4 mins,54,15,
Item_00759_2,javascript+typescript,538,42 mins,7mins,54,18,11mins
Item_00760_2,javascript+typescript,538,40mins,5mins,54,39,6mins
Item_00766_1,go,538,1 hour 5 mins,5 mins,,,
Item_00459_2,typescript,539,1 hr 30,9 min,,,
Item_00044_3,python,540,1 hour 37 min,,33,15,
Item_00265_2,java,540,51 min,5 min,53,29 min,
Item_00268_2,java,540,1 hour 15 min,4 min,,,
Item_00275_2,java,540,35 min,,56,8 min,525(skip after try 1 hour)
Item_00464_1,typescript,541,1 hour 18 min,15 min,54,45,
Item_00474_2,typescript,541,1 hour 2 min,10 mins,54,25,
Item_00736_2,"python, javascript",541,1 hour 30 mins,15 min,,,
item_00761_2,typescript,541,1 hour 6 min,10 min,,,
Item_00002_2,python,,,,33,20,
Item_00276_2,java,,,,,,
Item_00278_2,java,,,,,,
Item_00280_2,java,,,,,,
Item_00281_2,java,,,,,,
Item_00289_2,java,,,,,,
Item_00290_2,java,,,,,,
Item_00292_2,java,,,,,,
Item_00296_1,java,,,,56,5 min,
Item_00299_1,java,,,,56,12 min,
Item_00305_1,java,,,,56,3 min,
Item_00312_1,java,,,,,,
Item_00313_1,java,,,,,,
Item_00314_1,java,,,,,,
Item_00315_1,java,,,,,,
Item_00316_1,java,,,,,,
Item_00317_1,java,,,,,,
Item_00318_1,java,,,,,,
Item_00319_1,java,,,,,,
Item_00320_1,java,,,,,,
Item_00321_1,java,,,,,,
Item_00322_1,java,,,,,,
Item_00323_1,java,,,,,,
Item_00324_1,java,,,,,,
Item_00325_1,java,,,,,,
Item_00326_1,java,,,,,,
Item_00327_1,java,,,,,,
Item_00328_1,java,,,,,,
Item_00336_2,html/css,,,,,,
Item_00337_2,html/css,,,,,,
Item_00341_2,html/css,,,,,,
Item_00342_2,html/css,,,,54,,
Item_00414_2,c#,,,,,,
Item_00415_2,c#,,,,,,
Item_00425_2,c#,,,,,,
Item_00456_2,typescript,,,,54,60,
Item_00459_1,typescript,,,,,,
Item_00461_2,typescript,,,,,,
Item_00461_3,typescript,,,,,,
Item_00463_2,typescript,,,,,,
Item_00464_1,typescript,,,,,,
Item_00465_2,typescript,,,,,,
Item_00466_2,typescript,,,,,,
Item_00474_1,typescript,,,,,,
Item_00490_2,sql,,,,,,
Item_00494_2,sql,,,,,,
Item_00497_2,sql,,,,,,
Item_00499_1,sql,,,,,,
Item_00503_1,sql,,,,,,
Item_00504_1,sql,,,,,,
Item_00506_1,sql,,,,,,
Item_00523_3,sql,,,,,,
Item_00524_3,sql,,,,,,
Item_00525_3,sql,,,,,,
Item_00530_2,bash,,,,33,8,
Item_00531_2,bash,,,,33,8,
Item_00566_2,php,,,,,,
Item_00567_2,php,,,,,,
Item_00570_2,php,,,,,,
Item_00571_2,php,,,,,,
Item_00572_2,php,,,,,,
Item_00573_2,php,,,,,,
Item_00592_2,r,,,,,,
Item_00593_2,r,,,,,,
Item_00594_2,r,,,,,,
Item_00595_2,r,,,,,,
Item_00596_2,r,,,,,,
Item_00597_2,r,,,,,,
Item_00598_2,r,,,,,,
Item_00599_2,r,,,,,,
Item_00637_2,dart,,,,,,
Item_00638_2,dart,,,,,,
Item_00652_2,kotlin,,,,,,
Item_00653_2,kotlin,,,,,,
Item_00655_2,kotlin,,,,,,
Item_00656_2,kotlin,,,,,,
Item_00659_2,kotlin,,,,,,
Item_00660_2,kotlin,,ssddd,,,,
Item_00661_2,kotlin,,ff,,,,
Item_00662_2,kotlin,,,,,22123,
Item_00693_2,yaml,,,,,,
Item_00699_2,xml,,,,,,
Item_00719_2,swift,,,,,,
Item_00720_2,swift,,,,,,
Item_00721_2,swift,,,,,,
Item_00728_2,rust,,,,,,
Item_00733_2,react,,,,,,
Item_00737_2,pseudocode,,,,33,20,
Item_00741_2,powershell,,,,,,
Item_00743_2,powershell,,,,,,
Item_00747_2,php+javascript,,,,,,
Item_00757_2,json,,,,,,
Item_00758_2,json,,,,,,
Item_00759_2,javascript+typescript,,,,54,29,
Item_00760_2,javascript+typescript,,,,54,39,
Item_00761_2,javascript+typescript,,,,54,40,
Item_00762_2,javascript+typescript,,,,,,
Item_00766_1,go,,,,,,
Item_00768_1,go,,,,,,
Item_00775_2,batch,,,,33,,
Item_00776_2,batch,,,,33,15,
Item_00780_2,assembly,,,,31,60,
Item_00781_2,assembly,,,,,,
Item_00790_2,angular,,,,,,
Item_00791_2,angular,,,,,,
